,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HFA Scores,DRR,Corruption Perception Index,Government Effectiveness,Governance,INFORM Institutional,Adult literacy rate,Access to electricity,Internet users,Mobile cellular subscriptions,Communication,Road density,Road density,Sanitation,Drinking water,Physical Connectivity,Physicians Density,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),Immunization coverage,per capita public and private expenditure on health care,Maternal Mortality ratio,Access to health care Index,INFORM Infrastructure,
,MAX,5,,100,2.5,,,10000,100,100,200,,,100,100,100,,40,99,99,99,,3000,900,,,
,MIN,1,,0,-2.5,,,900,0,0,5,,,1,10,50,,0,40,40,40,,50,0,,,
COUNTRY,ISO3,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,6.3,6.3,8.0,8.8,8.4,7.4,9.5,1.5,8.2,7.4,6.7,11.0,9.0,4.9,3.6,5.8,9.4,5.1,8.5,5.4,6.3,8.9,6.9,7.9,6.8,
Albania,ALB,x,x,6.3,4.9,5.6,5.6,0.3,0.0,1.7,5.2,1.8,69.3,3.1,0.1,1.0,1.4,5.3,0.3,1.0,2.0,1.1,6.3,0.1,3.2,2.1,
Algeria,DZA,3.5,3.5,6.4,6.0,6.2,4.9,3.7,0.0,2.9,4.7,2.8,4.6,9.6,1.6,1.1,4.1,5.7,3.7,4.7,4.2,4.2,7.9,0.9,4.7,3.9,
Angola,AGO,5.2,5.2,6.7,7.1,6.9,6.1,5.2,5.2,6.7,6.8,6.0,4.1,9.7,5.3,8.5,7.8,9.5,9.7,10.0,10.0,9.9,9.5,2.5,7.9,7.2,
Antigua and Barbuda,ATG,5.4,5.4,x,5.3,5.3,5.4,x,0.0,0.4,0.1,0.2,222.7,0.0,0.3,0.3,0.2,2.8,0.0,1.4,x,0.7,6.0,0.2,2.4,0.9,
Argentina,ARG,3.8,3.8,6.3,5.6,6.0,4.9,x,0.0,1.2,3.5,1.6,19.0,8.2,0.6,0.2,3.0,0.3,3.1,1.0,3.7,2.6,2.3,0.5,1.4,2.0,
Armenia,ARM,7.5,7.5,5.3,5.6,5.5,6.5,0.0,0.0,2.1,3.3,1.4,70.2,3.0,0.7,0.0,1.2,0.0,1.0,0.8,1.0,0.9,3.6,0.3,1.2,1.3,
Australia,AUS,2.4,2.4,2.5,1.9,2.2,2.3,x,0.0,0.4,4.8,1.7,10.0,9.1,0.0,0.0,3.0,0.0,0.8,1.4,0.5,0.9,0.0,0.0,0.2,1.6,
Austria,AUT,2.0,2.0,2.9,2.1,2.5,2.3,x,0.0,0.6,3.9,1.5,351.9,0.0,0.0,0.0,0.0,0.0,2.5,0.8,x,1.7,0.0,0.1,0.4,0.6,
Azerbaijan,AZE,x,x,7.7,5.1,6.4,6.4,0.0,0.0,1.4,4.8,1.6,31.5,6.9,0.4,0.5,2.6,2.2,2.7,1.4,2.7,2.3,7.7,0.5,3.2,2.5,
Bahamas,BHS,x,x,3.6,4.2,3.9,3.9,x,0.0,0.6,5.2,1.9,48.0,5.3,0.6,0.2,2.0,5.4,2.0,5.8,3.4,3.7,2.1,0.9,3.0,2.3,
Bahrain,BHR,3.8,3.8,5.8,3.7,4.8,4.3,0.5,0.0,0.0,2.8,0.8,447.4,0.0,0.0,0.0,0.0,7.9,0.3,0.0,0.0,0.1,2.2,0.2,2.6,1.1,
Bangladesh,BGD,3.0,3.0,7.6,6.5,7.1,5.1,4.6,0.1,6.1,4.9,3.9,18.4,8.2,4.5,0.4,4.4,8.3,0.2,1.0,0.0,0.4,9.6,1.4,4.9,4.4,
Barbados,BRB,2.7,2.7,3.1,4.1,3.6,3.2,x,0.0,1.4,4.4,1.9,418.6,0.0,0.2,0.3,0.2,3.6,2.2,4.4,2.0,2.9,6.0,0.4,3.2,1.8,
Belarus,BLR,2.8,2.8,6.3,6.7,6.5,4.7,0.0,0.0,1.0,3.9,1.2,98.6,0.1,0.0,0.2,0.1,0.0,0.2,0.2,x,0.2,5.5,0.0,1.4,0.9,
Belgium,BEL,x,x,2.7,2.5,2.6,2.6,x,0.0,0.6,5.0,1.9,495.4,0.0,0.1,0.0,0.0,0.0,0.2,2.7,0.8,1.2,0.0,0.1,0.3,0.7,
Belize,BLZ,x,x,x,5.7,5.7,5.7,x,0.1,3.8,6.9,3.6,26.3,7.4,1.3,0.3,3.0,7.3,2.5,3.9,x,3.2,8.5,1.4,5.1,3.9,
Benin,BEN,5.5,5.5,5.7,5.3,5.5,5.5,8.6,4.4,6.6,4.7,6.1,11.5,8.9,8.9,6.5,8.1,9.8,3.9,x,4.4,4.2,9.8,5.8,7.4,7.2,
Bhutan,BTN,4.5,4.5,3.2,3.9,3.6,4.1,5.3,0.0,1.4,5.4,3.0,4.2,9.7,2.5,0.2,4.1,8.6,0.2,0.3,0.3,0.3,8.7,0.7,4.6,3.9,
