Year (2020-2099),month,"Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP5-8.5, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP3-7.0, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP2-4.5, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP1-2.6, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP5-8.5, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP3-7.0, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP2-4.5, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP1-2.6, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Precipitation 2020-2100; Morocco; SSP5-8.5, access-cm2_r1i1p1f1","Projected Precipitation 2020-2100; Morocco; SSP3-7.0, access-cm2_r1i1p1f1","Projected Precipitation 2020-2100; Morocco; SSP2-4.5, access-cm2_r1i1p1f1","Projected Precipitation 2020-2100; Morocco; SSP1-2.6, access-cm2_r1i1p1f1"
2020,JAN,10.8,12.71,11.16,9.26,15.6,17.94,16.11,13.78,57.52,79.84,41.76,44.73
2020,FEB,13.6,12.37,11.17,11.41,19.36,17.86,16.82,16.45,22.02,4.4,25.2,31.79
2020,MAR,14.6,15.59,14.98,13.39,20.24,21.01,20.7,18.94,13.18,25.94,24.95,25.27
2020,APR,16.06,17.83,16.47,17.1,21.74,23.46,22.19,22.26,15.69,51.09,20.54,83.82
2020,MAY,20.91,23.08,20.22,22.45,26.96,29.67,26.1,28.66,12.46,6.61,25.23,13.04
2020,JUN,25.09,27.33,26.16,24.67,31.09,33.76,32.63,30.9,14.23,8.86,7.43,17.11
2020,JUL,29.02,28.94,28.53,28.4,35.57,35.64,35.22,35.51,1.77,1.97,2.58,0.47
2020,AUG,28.49,27.38,28.56,28.85,35.32,33.46,35.18,35.51,1.06,4.36,3.21,1.21
2020,SEP,26.17,23.05,25.53,24.95,31.65,28.24,31.57,30.96,25.45,50.82,9.77,5.74
2020,OCT,20.65,20.19,22.31,22.48,25.46,25.02,27.84,28.15,49.14,49.08,20.86,12.7
2020,NOV,16.2,15.25,16.38,15.78,20.96,20.32,21.22,20.97,50.89,19.81,76.89,42.02
2020,DEC,12.03,10.09,14.13,12.65,16.43,14.64,19.08,17.19,63.66,25.34,30.63,43.69
2021,JAN,9.39,12.23,12.15,12.77,13.09,16.73,17.14,18.91,92.91,91.98,45.24,11.66
2021,FEB,9.86,13,12.52,14.21,14.37,17.32,17.89,20.48,56.13,55.19,40.02,14.32
