,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Physical exposure to earthquake MMI VI (absolute),Physical exposure to earthquake MMI VIII (absolute),Physical exposure to earthquake (absolute),Annual Expected Exposed People to River Floods,Annual Expected Exposed People to Tsunamis,Annual Expected Exposed People to Cyclone's Wind SS1,Annual Expected Exposed People to Cyclone's Wind SS3,Annual Expected Exposed People to Cyclone's Wind (absolute),Physical exposure to coastal flood (absolute),People affected by droughts (absolute),Physical exposure to earthquake MMI VI (relative),Physical exposure to earthquake MMI VIII (relative),Physical exposure to river flood (relative),Physical exposure to tsunami (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 1 (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 3 (relative),Physical exposure to coastal flood (relative),People affected by droughts (relative),Physical exposure to earthquake MMI VI (relative),Physical exposure to earthquake MMI VIII (relative),Physical exposure to earthquake (relative),Physical exposure to river flood (relative),Physical exposure to tsunami (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 1 (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 3 (relative),Physical exposure to tropical cyclone wind (relative),Physical exposure to coastal flood (relative),People affected by droughts (relative),Frequency of Drought events,Physical exposure to earthquake MMI VI,Physical exposure to earthquake MMI VIII,Physical exposure to tropical cyclone of Saffir-Simpson category 1,Physical exposure to tropical cyclone of Saffir-Simpson category 3,Physical exposure to tropical cyclone wind,People affected by droughts,Physical exposure to earthquake ,Physical exposure to river flood,Physical exposure to tsunami,Physical exposure to tropical cyclone,Physical exposure to coastal flood,People affected by droughts and Frequency of events,Agriculture Droughts probability,Droughts probability and historical impact,Population exposed to CCHF (absolute),Population exposed to CCHF (relative,Population exposed to CCHF (relative),Physical exposure to CCHF,Population exposed to EDV (absolute),Population exposed to EDV (relative),Population exposed to EDV (relative),Physical exposure to EDV,Population exposed to Lassa Fever (absolute),Population exposed to Lassa Fever (relative),Population exposed to Lassa Fever (relative),Physical exposure to Lassa Fever,Population exposed to MVD (absolute),Population exposed to MVD (relative),Population exposed to MVD (relative),Physical exposure to MVD,Physical exposure to zoonones,Populations at risk of malaria (absolute),Populations at risk of malaria (relative),Populations at risk of malaria (relative),Populations at risk of malaria,Population exposed to Zika (absolute),Population exposed to Zika (relative),Population exposed to Zika (relative),Population exposed to Zika,Population at Risk to Aedes (absolute),Population at Risk to Aedes (relative),Population at Risk to Aedes (relative),Population at Risk to Aedes,Population exposed to Dengue (absolute),Population exposed to Dengue (relative),Population exposed to Dengue (relative),Population exposed to Dengue,Physical exposure to vectorborne,Sanitation,Drinking water,Hygiene,WaSH,Population density,Urban population growth,Population living in urban areas,Household size,Population,P2P,Population living in slums (% of urban population),Children under 5,Population,People practicing open defecation,WaSH,Number of vets per capita,Number of vets,IHR capacity score: Food safety,Food,Waterborne - Foodborne,Physical exposure to epidemics,INFORM Natural Hazard,Projected Conflict Probability,Current Conflict Intensity,INFORM Human Hazard,,
,MAX,5.2,4.8,,6.5,3.5,6.1,5.2,,5.6,5.0,,,,,,,,,0.2%,0.2%,,-1.35,-3.9,9.00%,2.00%,,-1.35,3.00%,0.30,,,,,,,,,,,,,0.30,, 8.0 ,,90.00%,, 7.0 ,,5.00%,, 7.0 ,,10.00%,, 7.0 ,,0,,, 8.0 ,,100%,, 8.0 ,,90%,, 8.0 ,,100%,, 8.0 ,,100%,,,100,100,100,,3,5,100,6,,,90,20,,30,,,0.10%,100,,,,,0.95,3.5,,,
,MIN,1.7,0.9,,2.2,-0.9,1.7,-0.9,,1.3,1.0,,,,,,,,,0%,0%,,-3.95,-7.8,0.00%,0.00%,,-4.82,0.00%,0.00,,,,,,,,,,,,,0.00,, 1.0 ,,0.00%,, 1.0 ,,0.00%,, 1.0 ,,0.00%,, 1.0 ,,-5,,, 1.0 ,,0%,, 1.0 ,,0%,, 1.0 ,,0%,, 1.0 ,,0%,,,10,40,0,,0,0,0,2,,,0,5,,0,,,0.00%,0,,,,,0,0,,,
COUNTRY,ISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,9.2,9.5,9.4,7.6,0.0,0.0,0.0,0.0,0.0,10.0,0.19%,0.09%,0.7109%,0.00%,0.00%,0.00%,0.00%,2.04%,9.6,4.5,8.0,6.9,0.0,0.0,0.0,0.0,0.0,6.8,5.7,9.4,7.0,0.0,0.0,0.0,8.9,8.8,7.3,0.0,0.0,0.0,7.3,10.0,8.7,9.2,67.65%,7.5,8.5,x,x,x,x,x,x,x,x,x,x,x,x,8.5,9.3,77.2%,7.7,8.6,0.0,0.00%,0.0,0.0,8.6,24.18%,2.4,6.4,8.0,9.18%,0.9,5.5,5.9,4.9,3.0,5.2,4.4,6.0,7.7,2.7,10.0,6.6,5.9,8.0,7.3,7.0,2.9,4.0,0.01%,9.4,8.0,8.7,6.6,6.9,5.8,9.7,7.2,8.8,,
Albania,ALB,5.9,7.2,6.6,3.9,5.7,0.0,0.0,0.0,7.0,9.9,0.21%,0.17%,0.2565%,0.00%,0.00%,0.00%,0.77%,3.24%,10.0,8.4,9.4,5.2,7.6,0.0,0.0,0.0,7.8,10.0,1.0,8.0,7.8,0.0,0.0,0.0,10.0,8.3,4.6,6.8,0.0,7.4,5.5,7.5,6.5,7.7,80.94%,9.0,8.4,x,x,x,x,x,x,x,x,x,x,x,x,8.4,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,6.0,5.73%,0.6,3.8,1.1,0.1,0.8,x,0.5,6.7,0.2,6.5,3.2,4.2,3.0,0.3,0.1,2.8,0.0,0.3,0.03%,7.4,2.0,4.7,2.6,4.5,5.9,0.1,0.0,0.1,,
Algeria,DZA,9.1,8.9,9.0,4.8,2.2,0.0,0.0,0.0,1.3,0.0,0.16%,0.05%,0.0397%,0.00%,0.00%,0.00%,0.00%,0.00%,8.2,2.4,6.1,2.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,8.7,5.7,0.0,0.0,0.0,0.0,7.9,3.6,1.4,0.0,0.7,0.0,5.0,2.5,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,7.9,6.80%,0.8,5.4,9.1,47.35%,4.7,7.5,7.4,3.42%,0.3,4.8,4.9,1.6,0.9,1.5,1.3,4.2,4.4,7.5,7.4,5.9,4.4,1.5,3.3,4.7,0.0,1.0,0.01%,8.6,2.0,5.3,3.7,3.5,3.3,1.7,0.0,0.9,,
Angola,AGO,0.1,0.1,0.1,5.0,0.0,0.0,0.0,0.0,4.8,10.0,0.00%,0.00%,0.0565%,0.00%,0.00%,0.00%,0.01%,0.52%,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,1.8,1.7,6.7,0.1,0.1,0.0,0.0,0.0,7.9,0.1,3.9,0.0,0.0,3.4,7.3,0.0,3.7,5.0,0.09%,0.0,2.9,7.3,0.62%,1.2,5.0,0.0,0.00%,0.0,0.0,8.6,3.74%,7.1,7.9,4.6,9.4,100.0%,10.0,9.7,8.8,40.69%,4.5,7.2,9.3,83.97%,8.4,8.9,9.2,69.72%,7.0,8.3,8.7,5.3,7.0,7.3,6.5,4.8,7.8,6.9,7.1,6.7,6.6,7.0,7.8,6.9,5.8,6.4,0.00%,9.8,6.0,7.9,7.1,7.0,3.0,3.6,0.0,2.0,,
Antigua and Barbuda,ATG,1.6,0.1,0.9,0.0,0.0,5.1,6.7,6.0,2.1,0.0,0.20%,0.00%,0.0000%,0.00%,9.90%,1.68%,0.17%,0.00%,10.0,0.0,7.6,0.0,0.0,10.0,8.4,9.4,5.9,0.0,0.0,5.8,0.1,7.6,7.6,7.6,0.0,5.1,0.0,0.0,8.2,4.3,0.0,x,0.0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,5.3,56.63%,6.3,5.8,5.6,83.50%,8.3,7.2,5.4,65.18%,6.5,6.0,5.3,0.3,0.3,x,0.3,7.8,1.0,2.4,x,3.7,2.6,0.3,0.6,2.4,0.2,0.3,x,x,x,x,1.4,3.3,3.7,0.0,0.0,0.0,,
Argentina,ARG,7.7,7.7,7.7,8.0,0.0,0.0,0.0,0.0,5.1,5.0,0.05%,0.02%,0.9185%,0.00%,0.00%,0.00%,0.01%,0.00%,2.7,0.8,1.8,7.4,0.0,0.0,0.0,0.0,2.0,0.0,3.8,5.2,4.3,0.0,0.0,0.0,2.9,5.5,7.7,0.0,0.0,3.7,3.4,7.5,5.5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,8.2,12.34%,1.4,5.8,9.2,57.55%,5.8,7.9,7.9,7.20%,0.7,5.3,5.4,0.6,0.2,x,0.4,4.1,2.1,9.2,2.4,4.5,3.1,1.6,0.5,3.3,0.5,0.4,0.02%,7.7,2.0,4.9,2.9,3.9,4.3,0.3,0.0,0.2,,
Armenia,ARM,5.8,6.2,6.0,4.4,0.0,0.0,0.0,0.0,0.0,7.3,0.21%,0.07%,0.4224%,0.00%,0.00%,0.00%,0.00%,0.31%,10.0,3.4,8.2,6.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.9,4.8,0.0,0.0,0.0,4.9,7.3,5.3,0.0,0.0,0.0,3.0,6.7,4.9,7.7,90.78%,10.0,9.2,x,x,x,x,x,x,x,x,x,x,x,x,9.2,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.7,0.0,0.6,0.4,6.6,0.3,6.4,3.8,4.3,3.0,0.9,0.6,3.1,0.0,0.3,0.02%,7.9,6.0,7.0,3.5,5.1,3.8,2.6,3.7,3.2,,
