COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
Afghanistan,AFG,7.7,Very High,6,3.2,7.6,5.8,8.8,7.3,0,0,0,8.7,6.9,8.8,9.7,7.2,8.3,8.2,8.9,8.9,5.9,8.4,10,1.9,4.3,2.4,7.3,4.4,7.1,7.4,6.3,8.4,6.8,6.7,5.8,7.9,4,8%,YES,0.28
Albania,ALB,3.2,Medium,99,3,3.5,5.9,8.3,4.6,6.8,0,7.4,6.5,4.5,0.1,0.1,0,2.2,2.2,1.9,1.3,3.5,2.1,3.4,0.2,0.5,0,1.1,0.5,4.1,5.6,x,5.6,2.1,1.8,1.4,3.2,6,12%,,0.27
Algeria,DZA,3,Low,109,2.9,2.2,3.3,7.9,3.6,1.4,0,0.7,2.5,3.5,0.9,1.7,0,2.8,2.4,2.9,3.4,0.2,3.2,5.3,0.3,1.2,0,0,0.4,4.4,4.9,3.5,6.2,3.9,2.8,4.1,4.7,0,0%,,0.54
Angola,AGO,4.4,Medium,51,2.4,2.5,3,0.1,3.9,0,0,3.4,3.7,7,2,3.6,0,5.1,5.7,8,6.8,0.1,4.4,4.7,4.3,4.7,0.1,5.7,4,6.7,6.1,5.2,6.9,7.2,6,7.8,7.9,0,0%,,0.44
Antigua and Barbuda,ATG,2,Very Low,164,6.6,2,3.7,5.1,0,0,8.2,4.3,0,3.3,0,0,0,1.1,1.3,1.5,x,0.8,0.9,0,0,0.7,0,5.1,1.7,3.5,5.4,5.4,5.3,0.9,0.2,0.2,2.4,20,39%,,0.49
Argentina,ARG,3,Low,109,2.9,2.5,4.3,5.5,7.7,0,0,3.7,5.5,3.9,0.2,0.3,0,2.9,1.4,0.8,3.9,0.1,4.1,6.3,0.3,0.6,1.9,0.9,0.9,3.6,4.9,3.8,6,2,1.6,3,1.4,6,12%,,0.24
Armenia,ARM,3.9,Medium,75,2.8,3.5,3.8,7.3,5.3,0,0,0,4.9,5.1,3.2,2.6,3.7,3.8,1.7,1.2,1.7,2.5,5.4,8,0.4,0.7,0.3,1,0.6,4.4,6.5,7.5,5.5,1.3,1.4,1.2,1.2,3,6%,,0.38
Australia,AUS,2.2,Low,154,3.6,2.6,4.6,0.1,5.4,5.7,4.1,6.2,6.1,2.4,0.1,0.1,0,2.1,0.4,0,1.6,0,3.6,5.9,0.1,0.3,0.2,0.8,0.4,2,2.3,2.4,2.2,1.6,1.7,3,0.2,9,18%,,0.22
Austria,AUT,1.9,Very Low,169,4.2,1.4,2.5,3.9,7.2,0,0,0,1.7,1.8,0.1,0.1,0,3.2,0.3,0,1,0.1,5.3,8,0.1,0.2,0,0,0.1,1.5,2.3,2,2.5,0.6,1.5,0,0.4,12,24%,,0.19
Azerbaijan,AZE,5.5,High,32,5.8,7.1,4.3,7.8,6.6,0,0,0,5.3,5.3,8.7,9.4,7.6,4.9,2.6,2.8,4.4,0.5,6.6,9.2,0.4,1.3,0,0.6,0.6,4.7,6.4,x,6.4,2.5,1.6,2.6,3.2,7,14%,YES,0.52
Bahamas,BHS,2.2,Low,154,6,1.8,3.3,0.1,0,0,7.4,6.1,1.7,3.7,0.1,0.1,0,1.9,1.9,1.6,4.4,0.1,1.9,1.9,0.5,1,0,5.1,1.9,3.1,3.9,x,3.9,2.3,1.9,2,3,15,29%,,0.37
Bahrain,BHR,1.3,Very Low,188,5.3,0.9,1.6,0.1,0,0,0,5.3,0,3.8,0.2,0.4,0,0.8,0.7,0.2,2.4,0,0.9,1.2,0.2,0.5,0,1.2,0.5,2.9,4.3,3.8,4.8,1.1,0.8,0,2.6,16,31%,,0.25
Bangladesh,BGD,5.8,High,26,1,6.5,8.3,8.9,9.9,8.1,7.9,8.9,4.5,7.4,3.5,3.9,3.1,6.1,4.6,6.3,4.4,1.3,7.3,8.1,1.9,3.6,10,3.7,6.2,4.8,5.1,3,7.1,4.4,3.9,4.4,4.9,3,6%,,0.04
Barbados,BRB,2.1,Very Low,161,6.5,2.2,3.9,5.4,0,3.7,8.1,1.5,0.5,4.1,0,0,0,1.6,2.4,2.6,3.9,0.3,0.8,0.8,0.6,0.8,0,1.3,0.7,2.5,3.2,2.7,3.6,1.8,1.9,0.2,3.2,11,22%,,0.66
Belarus,BLR,1.8,Very Low,173,3.3,0.9,1.7,0.1,5.8,0,0,0,2.1,2.2,0.1,0.1,0,2.2,1.3,2,0.7,0.3,3.1,5.1,0.4,0.2,0,0.8,0.4,3,4.7,2.8,6.5,0.9,1.2,0.1,1.4,8,16%,,0.21
Belgium,BEL,2.1,Very Low,161,3.8,2.1,3.4,2.9,6.2,0,0,7.7,1.3,1.5,0.6,0.3,0.9,2.6,0.2,0,0.5,0.4,4.5,7.2,0.2,0.3,0,0,0.1,1.7,2.6,x,2.6,0.7,1.9,0,0.3,9,18%,,0.27
Belize,BLZ,3.7,Medium,79,4.3,2.1,3.7,2,2.2,3,5,6,2.1,4.3,0.1,0.1,0,4.9,4.3,4.3,6.1,2.4,5.5,5.5,0.7,0.9,10,1.8,5.4,4.9,5.7,x,5.7,3.9,3.6,3,5.1,9,18%,,0.35
