,month,Precipitation,Mean Temp,Max Temp
1951,JAN,38.96,8.28,13.26
1951,FEB,36,9.53,14.65
1951,MAR,34.8,14.62,20.33
1951,APR,14.71,16.27,22.13
1951,MAY,12.36,16.68,22.41
1951,JUN,3.85,23.64,30.21
1951,JUL,3.64,25.99,32.64
1951,AUG,2.69,26.09,32.75
1951,SEP,24.89,23.18,29.12
1951,OCT,34.96,15.69,20.82
1951,NOV,64.81,13.25,17.85
1951,DEC,40.22,9.68,14.02
1952,JAN,36.77,6.63,12.08
1952,FEB,9.78,9.71,16.3
1952,MAR,22.69,15.05,21.81
1952,APR,31.97,14.02,19.81
1952,MAY,27.14,18.16,24.16
1952,JUN,3.91,24.67,31.42
1952,JUL,3.06,26.3,32.91
1952,AUG,8.08,26.12,32.81
1952,SEP,20.13,21.66,27.88
1952,OCT,14.65,19.41,25.86
1952,NOV,17.38,14.55,20.67
1952,DEC,30.37,10.06,16.13
1953,JAN,52.2,7.82,13
1953,FEB,24.9,8.34,14.07
1953,MAR,54.54,10.1,15.66
1953,APR,19.25,16.53,23.1
1953,MAY,5.93,20.79,27.43
1953,JUN,11.13,21.19,27.44
1953,JUL,2.73,26.41,33.27
1953,AUG,6.02,27.02,33.69
1953,SEP,31.3,21.44,27.43
1953,OCT,45.19,16.68,22.31
1953,NOV,22.82,13.56,19.53
1953,DEC,51.51,8.89,14.02
1954,JAN,39.24,7.11,12.6
1954,FEB,34.62,7.98,13.51
1954,MAR,70.09,11.64,17.19
1954,APR,56.4,12.33,17.79
1954,MAY,10.86,19.34,25.9
1954,JUN,5.77,22.24,28.94
1954,JUL,1.58,26.41,33.48
1954,AUG,1.85,26.13,33.15
1954,SEP,3.33,23.8,30.83
1954,OCT,7.47,19.59,26.29
1954,NOV,56.63,13.78,18.85
1954,DEC,34.48,8.49,14.06
1955,JAN,46.07,10.88,16.48
1955,FEB,60.64,11.63,17.29
1955,MAR,52.65,12.06,17.92
1955,APR,26.97,16.84,23.38
